airline_name,month,origin_city,total_flights,delayed_flights,lat,lon
Alaska Airlines,1,"Atlanta, GA",84,20.0,33.6407,-84.4277
Alaska Airlines,1,"Chicago, IL",148,44.0,41.9742,-87.9073
Alaska Airlines,1,"Dallas/Fort Worth, TX",159,28.0,32.8998,-97.0403
Alaska Airlines,1,"Denver, CO",119,24.0,39.8561,-104.6737
Alaska Airlines,1,"Houston, TX",62,6.0,29.9804,-95.3397
Alaska Airlines,1,"Las Vegas, NV",438,95.0,36.084,-115.1537
Alaska Airlines,1,"Los Angeles, CA",657,80.0,33.9416,-118.4085
Alaska Airlines,1,"New York, NY",228,26.0,40.6413,-73.7781
Alaska Airlines,1,"Phoenix, AZ",463,60.0,33.4342,-112.0081
Alaska Airlines,1,"San Francisco, CA",780,107.0,37.6213,-122.379
Alaska Airlines,1,"Seattle, WA",5586,1060.0,47.4502,-122.3088
Alaska Airlines,2,"Atlanta, GA",68,30.0,33.6407,-84.4277
Alaska Airlines,2,"Chicago, IL",137,39.0,41.9742,-87.9073
Alaska Airlines,2,"Dallas/Fort Worth, TX",136,29.0,32.8998,-97.0403
Alaska Airlines,2,"Denver, CO",110,26.0,39.8561,-104.6737
Alaska Airlines,2,"Houston, TX",56,15.0,29.9804,-95.3397
Alaska Airlines,2,"Las Vegas, NV",412,91.0,36.084,-115.1537
Alaska Airlines,2,"Los Angeles, CA",591,95.0,33.9416,-118.4085
Alaska Airlines,2,"New York, NY",218,30.0,40.6413,-73.7781
Alaska Airlines,2,"Phoenix, AZ",449,71.0,33.4342,-112.0081
Alaska Airlines,2,"San Francisco, CA",648,132.0,37.6213,-122.379
Alaska Airlines,2,"Seattle, WA",5011,1155.0,47.4502,-122.3088
Alaska Airlines,3,"Atlanta, GA",98,30.0,33.6407,-84.4277
Alaska Airlines,3,"Chicago, IL",187,37.0,41.9742,-87.9073
Alaska Airlines,3,"Dallas/Fort Worth, TX",152,34.0,32.8998,-97.0403
Alaska Airlines,3,"Denver, CO",140,26.0,39.8561,-104.6737
Alaska Airlines,3,"Houston, TX",62,9.0,29.9804,-95.3397
Alaska Airlines,3,"Las Vegas, NV",478,94.0,36.084,-115.1537
Alaska Airlines,3,"Los Angeles, CA",661,104.0,33.9416,-118.4085
Alaska Airlines,3,"New York, NY",317,81.0,40.6413,-73.7781
Alaska Airlines,3,"Phoenix, AZ",518,86.0,33.4342,-112.0081
Alaska Airlines,3,"San Francisco, CA",778,148.0,37.6213,-122.379
Alaska Airlines,3,"Seattle, WA",5724,1203.0,47.4502,-122.3088
Allegiant Air,1,"Chicago, IL",18,7.0,41.9742,-87.9073
Allegiant Air,1,"Denver, CO",19,7.0,39.8561,-104.6737
Allegiant Air,1,"Houston, TX",12,6.0,29.9804,-95.3397
Allegiant Air,1,"Las Vegas, NV",575,108.0,36.084,-115.1537
Allegiant Air,1,"Los Angeles, CA",37,11.0,33.9416,-118.4085
Allegiant Air,1,"Phoenix, AZ",583,109.0,33.4342,-112.0081
Allegiant Air,2,"Chicago, IL",18,5.0,41.9742,-87.9073
Allegiant Air,2,"Denver, CO",21,5.0,39.8561,-104.6737
Allegiant Air,2,"Houston, TX",8,2.0,29.9804,-95.3397
Allegiant Air,2,"Las Vegas, NV",523,93.0,36.084,-115.1537
Allegiant Air,2,"Los Angeles, CA",24,2.0,33.9416,-118.4085
Allegiant Air,2,"Phoenix, AZ",578,98.0,33.4342,-112.0081
Allegiant Air,3,"Chicago, IL",38,8.0,41.9742,-87.9073
Allegiant Air,3,"Denver, CO",27,5.0,39.8561,-104.6737
Allegiant Air,3,"Houston, TX",28,6.0,29.9804,-95.3397
Allegiant Air,3,"Las Vegas, NV",672,82.0,36.084,-115.1537
Allegiant Air,3,"Los Angeles, CA",54,2.0,33.9416,-118.4085
Allegiant Air,3,"Phoenix, AZ",883,154.0,33.4342,-112.0081
American Airlines,1,"Atlanta, GA",485,83.0,33.6407,-84.4277
American Airlines,1,"Charlotte, NC",9862,1648.0,35.214,-80.9431
American Airlines,1,"Chicago, IL",3625,689.0,41.9742,-87.9073
American Airlines,1,"Dallas/Fort Worth, TX",13140,3397.0,32.8998,-97.0403
American Airlines,1,"Denver, CO",701,123.0,39.8561,-104.6737
American Airlines,1,"Houston, TX",574,102.0,29.9804,-95.3397
American Airlines,1,"Las Vegas, NV",1183,196.0,36.084,-115.1537
American Airlines,1,"Los Angeles, CA",2380,285.0,33.9416,-118.4085
American Airlines,1,"New York, NY",2684,364.0,40.6413,-73.7781
American Airlines,1,"Phoenix, AZ",4199,515.0,33.4342,-112.0081
American Airlines,1,"San Francisco, CA",866,112.0,37.6213,-122.379
American Airlines,1,"Seattle, WA",375,69.0,47.4502,-122.3088
American Airlines,2,"Atlanta, GA",467,69.0,33.6407,-84.4277
American Airlines,2,"Charlotte, NC",9150,1733.0,35.214,-80.9431
American Airlines,2,"Chicago, IL",3360,715.0,41.9742,-87.9073
American Airlines,2,"Dallas/Fort Worth, TX",11885,2881.0,32.8998,-97.0403
American Airlines,2,"Denver, CO",639,109.0,39.8561,-104.6737
American Airlines,2,"Houston, TX",508,95.0,29.9804,-95.3397
American Airlines,2,"Las Vegas, NV",1093,170.0,36.084,-115.1537
American Airlines,2,"Los Angeles, CA",2201,284.0,33.9416,-118.4085
American Airlines,2,"New York, NY",2462,375.0,40.6413,-73.7781
American Airlines,2,"Phoenix, AZ",4113,610.0,33.4342,-112.0081
American Airlines,2,"San Francisco, CA",811,163.0,37.6213,-122.379
American Airlines,2,"Seattle, WA",344,58.0,47.4502,-122.3088
American Airlines,3,"Atlanta, GA",544,90.0,33.6407,-84.4277
American Airlines,3,"Charlotte, NC",10561,2348.0,35.214,-80.9431
American Airlines,3,"Chicago, IL",3941,934.0,41.9742,-87.9073
American Airlines,3,"Dallas/Fort Worth, TX",14273,4149.0,32.8998,-97.0403
American Airlines,3,"Denver, CO",766,115.0,39.8561,-104.6737
American Airlines,3,"Houston, TX",565,128.0,29.9804,-95.3397
American Airlines,3,"Las Vegas, NV",1343,246.0,36.084,-115.1537
American Airlines,3,"Los Angeles, CA",2595,406.0,33.9416,-118.4085
American Airlines,3,"New York, NY",2722,441.0,40.6413,-73.7781
American Airlines,3,"Phoenix, AZ",5087,923.0,33.4342,-112.0081
American Airlines,3,"San Francisco, CA",982,170.0,37.6213,-122.379
American Airlines,3,"Seattle, WA",440,78.0,47.4502,-122.3088
Delta Air Lines,1,"Atlanta, GA",17468,3705.0,33.6407,-84.4277
Delta Air Lines,1,"Charlotte, NC",470,91.0,35.214,-80.9431
Delta Air Lines,1,"Chicago, IL",742,155.0,41.9742,-87.9073
Delta Air Lines,1,"Dallas/Fort Worth, TX",994,183.0,32.8998,-97.0403
Delta Air Lines,1,"Denver, CO",815,180.0,39.8561,-104.6737
Delta Air Lines,1,"Houston, TX",705,168.0,29.9804,-95.3397
Delta Air Lines,1,"Las Vegas, NV",1374,193.0,36.084,-115.1537
Delta Air Lines,1,"Los Angeles, CA",2697,449.0,33.9416,-118.4085
Delta Air Lines,1,"New York, NY",4645,890.0,40.6413,-73.7781
Delta Air Lines,1,"Phoenix, AZ",829,127.0,33.4342,-112.0081
Delta Air Lines,1,"San Francisco, CA",948,135.0,37.6213,-122.379
Delta Air Lines,1,"Seattle, WA",2364,380.0,47.4502,-122.3088
Delta Air Lines,2,"Atlanta, GA",16723,3670.0,33.6407,-84.4277
Delta Air Lines,2,"Charlotte, NC",472,90.0,35.214,-80.9431
Delta Air Lines,2,"Chicago, IL",740,151.0,41.9742,-87.9073
Delta Air Lines,2,"Dallas/Fort Worth, TX",892,156.0,32.8998,-97.0403
Delta Air Lines,2,"Denver, CO",732,196.0,39.8561,-104.6737
Delta Air Lines,2,"Houston, TX",647,111.0,29.9804,-95.3397
Delta Air Lines,2,"Las Vegas, NV",1192,229.0,36.084,-115.1537
Delta Air Lines,2,"Los Angeles, CA",2472,470.0,33.9416,-118.4085
Delta Air Lines,2,"New York, NY",4208,779.0,40.6413,-73.7781
Delta Air Lines,2,"Phoenix, AZ",745,113.0,33.4342,-112.0081
Delta Air Lines,2,"San Francisco, CA",899,219.0,37.6213,-122.379
Delta Air Lines,2,"Seattle, WA",2131,362.0,47.4502,-122.3088
Delta Air Lines,3,"Atlanta, GA",19525,4153.0,33.6407,-84.4277
Delta Air Lines,3,"Charlotte, NC",545,59.0,35.214,-80.9431
Delta Air Lines,3,"Chicago, IL",898,145.0,41.9742,-87.9073
Delta Air Lines,3,"Dallas/Fort Worth, TX",1004,195.0,32.8998,-97.0403
Delta Air Lines,3,"Denver, CO",899,123.0,39.8561,-104.6737
Delta Air Lines,3,"Houston, TX",794,138.0,29.9804,-95.3397
Delta Air Lines,3,"Las Vegas, NV",1418,230.0,36.084,-115.1537
Delta Air Lines,3,"Los Angeles, CA",2940,450.0,33.9416,-118.4085
Delta Air Lines,3,"New York, NY",4745,938.0,40.6413,-73.7781
Delta Air Lines,3,"Phoenix, AZ",939,133.0,33.4342,-112.0081
Delta Air Lines,3,"San Francisco, CA",1082,188.0,37.6213,-122.379
Delta Air Lines,3,"Seattle, WA",2592,350.0,47.4502,-122.3088
Envoy Air,1,"Atlanta, GA",101,10.0,33.6407,-84.4277
Envoy Air,1,"Charlotte, NC",477,73.0,35.214,-80.9431
Envoy Air,1,"Chicago, IL",2364,425.0,41.9742,-87.9073
Envoy Air,1,"Dallas/Fort Worth, TX",5256,798.0,32.8998,-97.0403
Envoy Air,1,"Denver, CO",18,4.0,39.8561,-104.6737
Envoy Air,1,"Houston, TX",228,39.0,29.9804,-95.3397
Envoy Air,1,"Los Angeles, CA",12,0.0,33.9416,-118.4085
Envoy Air,1,"Phoenix, AZ",796,74.0,33.4342,-112.0081
Envoy Air,1,"Seattle, WA",14,1.0,47.4502,-122.3088
Envoy Air,2,"Atlanta, GA",71,8.0,33.6407,-84.4277
Envoy Air,2,"Charlotte, NC",440,79.0,35.214,-80.9431
Envoy Air,2,"Chicago, IL",2307,531.0,41.9742,-87.9073
Envoy Air,2,"Dallas/Fort Worth, TX",4735,684.0,32.8998,-97.0403
Envoy Air,2,"Denver, CO",16,4.0,39.8561,-104.6737
Envoy Air,2,"Houston, TX",182,31.0,29.9804,-95.3397
Envoy Air,2,"Los Angeles, CA",19,0.0,33.9416,-118.4085
Envoy Air,2,"Phoenix, AZ",767,58.0,33.4342,-112.0081
Envoy Air,2,"Seattle, WA",7,0.0,47.4502,-122.3088
Envoy Air,3,"Atlanta, GA",100,25.0,33.6407,-84.4277
Envoy Air,3,"Charlotte, NC",514,94.0,35.214,-80.9431
Envoy Air,3,"Chicago, IL",2945,647.0,41.9742,-87.9073
Envoy Air,3,"Dallas/Fort Worth, TX",5547,882.0,32.8998,-97.0403
Envoy Air,3,"Denver, CO",28,11.0,39.8561,-104.6737
Envoy Air,3,"Houston, TX",252,52.0,29.9804,-95.3397
Envoy Air,3,"Los Angeles, CA",31,0.0,33.9416,-118.4085
Envoy Air,3,"Phoenix, AZ",1021,130.0,33.4342,-112.0081
Envoy Air,3,"Seattle, WA",3,0.0,47.4502,-122.3088
Frontier Airlines,1,"Atlanta, GA",906,265.0,33.6407,-84.4277
Frontier Airlines,1,"Charlotte, NC",222,49.0,35.214,-80.9431
Frontier Airlines,1,"Chicago, IL",428,100.0,41.9742,-87.9073
Frontier Airlines,1,"Dallas/Fort Worth, TX",627,143.0,32.8998,-97.0403
Frontier Airlines,1,"Denver, CO",1657,405.0,39.8561,-104.6737
Frontier Airlines,1,"Houston, TX",334,122.0,29.9804,-95.3397
Frontier Airlines,1,"Las Vegas, NV",979,143.0,36.084,-115.1537
Frontier Airlines,1,"Los Angeles, CA",415,106.0,33.9416,-118.4085
Frontier Airlines,1,"New York, NY",426,106.0,40.6413,-73.7781
Frontier Airlines,1,"Phoenix, AZ",654,92.0,33.4342,-112.0081
Frontier Airlines,1,"San Francisco, CA",375,85.0,37.6213,-122.379
Frontier Airlines,1,"Seattle, WA",117,20.0,47.4502,-122.3088
Frontier Airlines,2,"Atlanta, GA",906,315.0,33.6407,-84.4277
Frontier Airlines,2,"Charlotte, NC",186,32.0,35.214,-80.9431
Frontier Airlines,2,"Chicago, IL",461,105.0,41.9742,-87.9073
Frontier Airlines,2,"Dallas/Fort Worth, TX",654,118.0,32.8998,-97.0403
Frontier Airlines,2,"Denver, CO",1544,342.0,39.8561,-104.6737
Frontier Airlines,2,"Houston, TX",321,84.0,29.9804,-95.3397
Frontier Airlines,2,"Las Vegas, NV",943,210.0,36.084,-115.1537
Frontier Airlines,2,"Los Angeles, CA",367,83.0,33.9416,-118.4085
Frontier Airlines,2,"New York, NY",390,102.0,40.6413,-73.7781
Frontier Airlines,2,"Phoenix, AZ",703,101.0,33.4342,-112.0081
Frontier Airlines,2,"San Francisco, CA",327,94.0,37.6213,-122.379
Frontier Airlines,2,"Seattle, WA",112,22.0,47.4502,-122.3088
Frontier Airlines,3,"Atlanta, GA",1070,351.0,33.6407,-84.4277
Frontier Airlines,3,"Charlotte, NC",209,54.0,35.214,-80.9431
Frontier Airlines,3,"Chicago, IL",590,162.0,41.9742,-87.9073
Frontier Airlines,3,"Dallas/Fort Worth, TX",787,166.0,32.8998,-97.0403
Frontier Airlines,3,"Denver, CO",1938,444.0,39.8561,-104.6737
Frontier Airlines,3,"Houston, TX",397,130.0,29.9804,-95.3397
Frontier Airlines,3,"Las Vegas, NV",1066,237.0,36.084,-115.1537
Frontier Airlines,3,"Los Angeles, CA",442,140.0,33.9416,-118.4085
Frontier Airlines,3,"New York, NY",436,126.0,40.6413,-73.7781
Frontier Airlines,3,"Phoenix, AZ",877,183.0,33.4342,-112.0081
Frontier Airlines,3,"San Francisco, CA",387,95.0,37.6213,-122.379
Frontier Airlines,3,"Seattle, WA",149,37.0,47.4502,-122.3088
Hawaiian Airlines,1,"Las Vegas, NV",126,24.0,36.084,-115.1537
Hawaiian Airlines,1,"Los Angeles, CA",192,26.0,33.9416,-118.4085
Hawaiian Airlines,1,"New York, NY",31,5.0,40.6413,-73.7781
Hawaiian Airlines,1,"Phoenix, AZ",31,1.0,33.4342,-112.0081
Hawaiian Airlines,1,"San Francisco, CA",66,5.0,37.6213,-122.379
Hawaiian Airlines,1,"Seattle, WA",69,23.0,47.4502,-122.3088
Hawaiian Airlines,2,"Las Vegas, NV",110,23.0,36.084,-115.1537
Hawaiian Airlines,2,"Los Angeles, CA",168,30.0,33.9416,-118.4085
Hawaiian Airlines,2,"New York, NY",28,6.0,40.6413,-73.7781
Hawaiian Airlines,2,"Phoenix, AZ",28,1.0,33.4342,-112.0081
Hawaiian Airlines,2,"San Francisco, CA",52,5.0,37.6213,-122.379
Hawaiian Airlines,2,"Seattle, WA",56,24.0,47.4502,-122.3088
Hawaiian Airlines,3,"Las Vegas, NV",135,31.0,36.084,-115.1537
Hawaiian Airlines,3,"Los Angeles, CA",200,28.0,33.9416,-118.4085
